"Name","Platform","Genre","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating"
"Super Scribblenauts","DS","Puzzle",1.46,81,53,81,46,"E10+"
"SingStar Pop","PS2","Misc",1.44,73,13,74,8,"E10+"
"Disney Infinity","X360","Action",1.44,74,38,64,79,"E10+"
"SimCity (2013)","PC","Simulation",1.42,64,75,21,4572,"E10+"
"Sonic's Ultimate Genesis Collection","X360","Misc",1.41,79,45,84,40,"E10+"
"LEGO Star Wars II: The Original Trilogy","PSP","Action",1.4,83,11,85,26,"E10+"
"LEGO Indiana Jones 2: The Adventure Continues","Wii","Action",1.4,72,13,60,14,"E10+"
"Forza Horizon 2","XOne","Racing",1.4,86,85,81,977,"E10+"
"LEGO Indiana Jones: The Original Adventures","PS2","Action",1.37,77,12,83,16,"E10+"
"Final Fantasy XII: Revenant Wings","DS","Role-Playing",1.37,81,44,60,60,"E10+"
"Burnout Paradise","X360","Racing",1.35,88,68,68,279,"E10+"
"Chrono Trigger","DS","Role-Playing",1.34,92,57,88,440,"E10+"
"Donkey Kong Jungle Beat","GC","Platform",1.34,80,49,82,30,"E10+"
"Need for Speed Carbon","PS2","Racing",1.34,74,26,83,60,"E10+"
"Skylanders SWAP Force","X360","Platform",1.32,83,37,56,45,"E10+"
"LEGO Harry Potter: Years 1-4","PS3","Action",1.31,79,42,79,52,"E10+"
"Madagascar","PS2","Platform",1.31,69,25,73,25,"E10+"
"Skylanders Giants","X360","Action",1.3,80,35,65,38,"E10+"
"LEGO Batman: The Videogame","PS3","Action",1.29,75,24,76,33,"E10+"
"LEGO Batman: The Videogame","PSP","Action",1.28,73,5,73,10,"E10+"
"Need for Speed Carbon","Wii","Racing",1.28,67,21,72,26,"E10+"
"The LEGO Movie Videogame","X360","Action",1.27,69,8,71,26,"E10+"
"Kid Icarus: Uprising","3DS","Action",1.27,83,75,86,487,"E10+"
"LEGO Batman: The Videogame","PS2","Action",1.27,77,8,88,17,"E10+"
"Need for Speed Rivals","PS3","Racing",1.27,80,6,48,123,"E10+"
"LEGO Harry Potter: Years 5-7","Wii","Action",1.24,76,8,77,13,"E10+"
"LEGO The Lord of the Rings","X360","Action",1.23,80,49,84,73,"E10+"
"Need for Speed Carbon","PS3","Racing",1.23,75,31,72,42,"E10+"
"Ben 10: Protector of Earth","Wii","Action",1.23,63,6,76,9,"E10+"
"Final Fantasy IV","DS","Simulation",1.21,85,52,76,164,"E10+"
"LEGO Batman 2: DC Super Heroes","PS3","Action",1.19,81,28,74,81,"E10+"
"Just Dance 4","X360","Misc",1.18,77,23,76,36,"E10+"
"LEGO Indiana Jones: The Original Adventures","PSP","Action",1.17,76,8,75,11,"E10+"
"Spore","PC","Strategy",1.17,84,75,52,1711,"E10+"
"LEGO Star Wars III: The Clone Wars","PS3","Action",1.16,76,36,72,34,"E10+"
"Midnight Club 3: DUB Edition Remix","PS2","Racing",1.16,85,19,88,53,"E10+"
"Sonic the Hedgehog","PS3","Platform",1.16,43,17,40,176,"E10+"
"Pokemon Rumble Blast","3DS","Action",1.14,56,36,70,50,"E10+"
"Dance Dance Revolution Extreme 2","PS2","Simulation",1.14,76,27,89,21,"E10+"
"LEGO Star Wars III: The Clone Wars","3DS","Action",1.13,67,25,60,31,"E10+"
"Fantasy Life","3DS","Role-Playing",1.13,73,51,85,209,"E10+"
"Rabbids Go Home","Wii","Platform",1.12,78,50,82,32,"E10+"
"Pikmin 3","WiiU","Strategy",1.11,87,79,86,664,"E10+"
"Plants vs. Zombies","DS","Strategy",1.1,81,23,73,29,"E10+"
"LEGO City Undercover","WiiU","Platform",1.1,80,66,81,283,"E10+"
"Need for Speed: ProStreet","Wii","Racing",1.1,61,16,68,14,"E10+"
